Date,Country,New_confirmed,Total_confirmed,New_deaths,Total_deaths,New_recovered,Total_recovered
2022-11-19T04:48:24.726Z,Congo (Kinshasa),0,93467,0,1447,0,0
2022-11-19T04:48:24.726Z,Costa Rica,0,1140864,0,9019,0,0
2022-11-19T04:48:24.726Z,Croatia,269,1250968,5,17249,0,0
2022-11-19T04:48:24.726Z,Cuba,1,1111333,0,8530,0,0
2022-11-19T04:48:24.726Z,Cyprus,0,606287,0,1210,0,0
2022-11-19T04:48:24.726Z,Czech Republic,558,4167299,5,41743,0,0
2022-11-19T04:48:24.726Z,Côte d'Ivoire,0,87864,0,829,0,0
2022-11-19T04:48:24.726Z,Denmark,574,3391724,1,7519,0,0
2022-11-19T04:48:24.726Z,Djibouti,0,15690,0,189,0,0
2022-11-19T04:48:24.726Z,Dominica,0,15760,0,74,0,0
2022-11-19T04:48:24.726Z,Dominican Republic,0,647868,0,4384,0,0
2022-11-19T04:48:24.726Z,Ecuador,0,1009388,0,35935,0,0
2022-11-19T04:48:24.726Z,Egypt,0,515645,0,24798,0,0
2022-11-19T04:48:24.726Z,El Salvador,0,201785,0,4230,0,0
2022-11-19T04:48:24.726Z,Equatorial Guinea,0,17182,0,183,0,0
2022-11-19T04:48:24.726Z,Eritrea,0,10189,0,103,0,0
2022-11-19T04:48:24.726Z,Estonia,0,608332,0,2757,0,0
2022-11-19T04:48:24.726Z,Ethiopia,30,494270,0,7572,0,0
2022-11-19T04:48:24.726Z,Fiji,20,68307,0,878,0,0
2022-11-19T04:48:24.726Z,Finland,12003,1384654,260,7173,0,0
2022-11-19T04:48:24.726Z,France,33331,37471008,87,159129,0,0
2022-11-19T04:48:24.726Z,Gabon,0,48959,0,306,0,0
2022-11-19T04:48:24.726Z,Gambia,0,12580,0,372,0,0
2022-11-19T04:48:24.726Z,Georgia,0,1785138,0,16912,0,0
2022-11-19T04:48:24.726Z,Germany,27587,36180077,218,156410,0,0
2022-11-19T04:48:24.726Z,Ghana,0,170972,0,1461,0,0
2022-11-19T04:48:24.726Z,Greece,0,5306482,0,34024,0,0
2022-11-19T04:48:24.726Z,Grenada,3,19616,0,237,0,0
2022-11-19T04:48:24.726Z,Guatemala,534,1147070,5,19934,0,0
2022-11-19T04:48:24.726Z,Guinea,0,38153,0,464,0,0
2022-11-19T04:48:24.726Z,Guinea-Bissau,0,8848,0,176,0,0
2022-11-19T04:48:24.726Z,Guyana,21,71520,0,1281,0,0
2022-11-19T04:48:24.726Z,Haiti,5,33837,0,860,0,0
2022-11-19T04:48:24.726Z,Holy See (Vatican City State),0,29,0,0,0,0
2022-11-19T04:48:24.726Z,Honduras,0,457459,0,11043,0,0
2022-11-19T04:48:24.726Z,Hungary,0,2157995,0,48184,0,0
2022-11-19T04:48:24.726Z,Iceland,0,206803,0,219,0,0
2022-11-19T04:48:24.726Z,India,0,44668535,7,530553,0,0
2022-11-19T04:48:24.726Z,Indonesia,7822,6590113,38,159291,0,0
2022-11-19T04:48:24.726Z,"Iran, Islamic Republic of",109,7559164,4,144617,0,0
2022-11-19T04:48:24.726Z,Iraq,0,2462317,0,25361,0,0
2022-11-19T04:48:24.726Z,Ireland,0,1677386,0,8141,0,0
2022-11-19T04:48:24.726Z,Israel,1246,4701936,6,11810,0,0
2022-11-19T04:48:24.726Z,Italy,0,23823192,0,179985,0,0
2022-11-19T04:48:24.726Z,Jamaica,0,152381,0,3351,0,0
2022-11-19T04:48:24.726Z,Japan,91606,23540544,140,47974,0,0
2022-11-19T04:48:24.726Z,Jordan,0,1746997,0,14122,0,0
2022-11-19T04:48:24.726Z,Kazakhstan,0,1485635,0,19053,0,0
2022-11-19T04:48:24.726Z,Kenya,94,340784,0,5684,0,0
2022-11-19T04:48:24.726Z,Kiribati,0,3430,0,13,0,0
2022-11-19T04:48:24.726Z,Korea (North),0,1,0,6,0,0
2022-11-19T04:48:24.726Z,Korea (South),49418,26462319,63,29925,0,0
2022-11-19T04:48:24.726Z,Kuwait,0,662510,0,2569,0,0
2022-11-19T04:48:24.726Z,Kyrgyzstan,0,206483,0,2991,0,0
2022-11-19T04:48:24.726Z,Lao PDR,13,216444,0,758,0,0
2022-11-19T04:48:24.726Z,Latvia,450,959019,0,6083,0,0
2022-11-19T04:48:24.726Z,Lebanon,0,1219834,0,10724,0,0
2022-11-19T04:48:24.726Z,Lesotho,0,34490,0,706,0,0
2022-11-19T04:48:24.726Z,Liberia,0,8014,0,294,0,0
2022-11-19T04:48:24.726Z,Libya,0,507070,0,6437,0,0
2022-11-19T04:48:24.726Z,Liechtenstein,2,20798,0,87,0,0
